No.,Serial No.,Expired Date,Location,Type,Tank Status
A1-1,PW042023Y309509,2025/01/14,Wire Rod Storage,DP,Good
A1-2,PW042023Y305838,2024/09/11,Product Storage Area,DP,Good
A1-3,EE072017Y049266,2024/08/13,In front chemical store,DP,Good
A1-4,PW072019Y154806,2024/08/13,Chemical Store,DP,Good
A1-5,PW012021Y218587,2024/08/13,Near Info Board,DP,Good
A1-6,PW042023Y305817,2024/09/11,Near Info Board,DP,Good
A1-7,SR032022Y072800,2025/03/04,Near Rewinder,DP,Good
A1-8,PW042023Y310287,2025/01/14,PD Machine Area,DP,Good
A1-9,PW042023Y308846,2025/01/14,Descaling Take-up Area,DP,Good
A1-10,PW042023Y309099,2025/01/14,Descaling Hot Water Bath,DP,Good
A1-11,PW032023Y304643,2025/01/14,Dust Collector,DP,Good
A1-12,SR062023Z024002,2024/07/31,Descaling Machine Area,CO2,Good
A1-13,PW042023Y308968,2025/01/14,Descaling Machine Area,DP,Good
