No.,Serial No.,Expired Date,Location,Type,Tank Status
B1,PW102018Y124381,2024/09/12,Surau ,DP,Good
B2,PW102018Y124408,2025/03/04,Surau ,DP,Good
B3,PW102018Y120658,2024/09/12,Chemical Store,DP,Good
B4,PW092018Y125991,2025/03/04,Descaling Wire Rod Area,DP,Good
B5,FF012018Y001778,2024/09/12,Back Entrance Lab SC,DP,Good
B6,FF012018Y000906,2024/09/12,Lab SC,DP,Good
B7,SR032021Y080365,2025/03/04,Lab SC,DP,Good
B8,SR032022Y072992,2025/03/04,Front Entrance Lab SC,DP,Good
B9,SR042022Y074696,2025/03/04,Take-up Descaling,DP,Good
B10,SR042022Y074667,2025/03/04,Mechanical Workshop,DP,Good
B11,SR052023Z017340,2024/07/17,Mechanical Workshop,CO2,Good
B12,SR052023Z017496,2024/07/17,Electrical Workshop,CO2,Good
B13,PW042023Y309016,2025/01/14,In front Production Office,DP,Good
B14,SR032021Y081630,2025/03/04,ID Machine Area,DP,Good
B15,EE062015Y135328,2025/03/04,ID Machine Area,DP,Good
B16,PW042023Y309174,2025/01/14,ID Machine Area,DP,Good
B17,SR032022Y072997,2025/03/04,Take-up PL2,DP,Good
B18,PW032018Y098108,2024/09/12,Take-up PL2,DP,Good
B19,PW042023Y309619,2025/01/14,Take-up PL2,DP,Good
B20,SR042022Y074563,2025/03/04,Furnace PL2,DP,Good
B21,PW092018Y125602,2025/03/04,Rectifier Room PL2,DP,Good
B22,SR112017Y525959,2024/09/12,Zn & Cu Bath PL1,DP,Good
B23,PW042023Y289178,2025/01/14,Zn & Cu Bath PL1,DP,Good
B24,PW042023Y309554,2025/01/14,Zn & Cu Bath PL1,DP,Good
B25,EE082016Y136154,2024/12/09,HCL Bath PL1,DP,Good
B26,SR122016Y208571,2024/09/12,U-turn Roller ,DP,Good
B27,SR102016Y208704,2024/09/12,U-turn Roller PL2,DP,Good
B28,EE022017Z015332,2025/03/04,Between Zn & Cu Bath PL1 & PL2,CO2,Good
B29,PW042023Y310223,2025/01/14,Zn & Cu Bath PL2,DP,Good
B30,PW042023Y308698,2025/01/14,Zn & Cu Bath PL2,DP,Good
B31,PW042023Y309090,2025/01/14,Zn & Cu Bath PL2,DP,Good
B32,EE052017Z015149,2024/09/12,Rectifier Room Between PL1 & PL2,CO2,Good
