No.,Serial No.,Expired Date,Location,Type,
A1,SR042022Y074662,4-Mar-2025,Loading Bay Store,DP,
A2,PW012021Y218788,13-Aug-2024,Loading Bay Store,DP,
A3,PW032019Y145519,13-Aug-2024,Loading Bay Store,DP,
A4,SR042022Y074794,4-Mar-2025,Loading Bay Store,DP,
A5,SR042014Y113057,12-Sep-2024,Loading Bay Store,DP,
A6,PW032018Y098512,13-Aug-2024,Chemical Tank PL2,DP,
A7,PW012021Y216659,13-Aug-2024,Product Store,DP,
A8,PW122021Y218893,13-Aug-2024,Blower Area PL2,DP,
A9,EE092017Y197598,13-Aug-2024,Near Cumar Chemical,DP,
A10,EE092017Y198388,13-Aug-2024,Cumar Chemical,DP,
A11,SR062021Y017592,13-Aug-2024,Water Rinse PL2,DP,
A12,PW102019Y124288,13-Aug-2024,Packing Storage,DP,
A13,PW032019Y146774,13-Aug-2024,Product Store,DP,
A14,PW042023Y304774,11-Sep-2024,Packing Room,DP,
A15,SR052017Y092393,13-Aug-2024,BW Side Office,DP,
A16,SR032022Y073241,4-Mar-2025,Tools Room,DP,
A17,PW032018Y096060,13-Aug-2024,Cumar Tank PL1,DP,
A18,PW032018Y096204,13-Aug-2024,Cumar Tank PL1,DP,
A19,SR042022Y074562,4-Mar-2025,Bobbin Cleaning Area,DP,
A20,SR032022Y072842,4-Mar-2025,Bobbin Store PL1,DP,
A21,SR042022Y074669,4-Mar-2025,Near U-Turn Roller PL1,DP,
A22,PW042023Y310321,14-Jan-2025,Near U-Turn Roller PL1,DP,
A23,EE032017Y510689,13-Aug-2024,Water Rinse PL1,DP,
A24,PW042023Y309488,14-Jan-2025,Near Cumar Room PL1,DP,
A25,PW042023Y310292,14-Jan-2025,Near Acid Tank PL1,DP,
A26,PW042023Y309582,14-Jan-2025,Cumar Room PL1,DP,
A27,PW012021Y218750,13-Aug-2024,PB Panel Room,DP,
A28,PW032019Y146780,13-Aug-2024,Drier Room PL1,DP,
A29,PW072019Y156582,13-Aug-2024,Drier Room PL1,DP,
A30,PW032019Y147187,13-Aug-2024,Stair to Drier Room PL1,DP,
A31,PW042023Y309121,14-Jan-2025,Take-up PL1,DP,
A32,PW042023Y308791,14-Jan-2025,Take-up PL2,DP,
A33,PW042023Y309422,14-Jan-2025,Take-up PL2,DP,
A34,PW042023Y304802,11-Sep-2024,Take-up PL2,DP,
A35,PW032023Y309648,14-Jan-2025,Drier Room PL2,DP,
A36,PW042023Y308871,14-Jan-2025,Cumar Room PL2,DP,
A37,PW042023Y310008,14-Jan-2025,Cumar Room PL2,DP,
A38,PW042023Y309382,14-Jan-2025,Rectifier Room PL2,DP,
A39,SR062021Y017592,13-Aug-2024,U-turn Roller PL2,DP,
A40,PW042023Y304887,11-Sep-2024,Stair to PB PL2,DP,
A41,PW042023Y309893,24-Jan-2025,Compressor Near Pat2,DP,
A42,PW012021Y218430,13-Aug-2024,BW Main Office,DP,
A43,PW032019Y146899,13-Aug-2024,In Front Lab BW,DP,
A44,PW032018Y098534,13-Aug-2024,Lab BW,DP,
A45,EE022017Z015359,12-Sep-2024,Lab BW,CO2,
A46,EE022017Z015381,13-Aug-2024,Lab BW,CO2,
A47,PW042023Y310112,14-Jan-2025,Pay-off PL2,DP,
A48,PW032019Y146908,13-Aug-2024,Pay-off PL2,DP,
A49,PW042023Y309041,14-Jan-2025,Pay-off PL1,DP,
A50,PW042023Y309628,14-Jan-2025,In front Transformer Room,DP,
A51,PW042023Y309424,14-Jan-2025,Near ID Machine no.1,DP,
A52,PW042023Y308819,14-Jan-2025,U-turn Roller Pat2,DP,
A53,PW082019Y154464,13-Aug-2024,Bonderite Bath Pat2,DP,
A54,EE022017Z015081,13-Aug-2024,Panel Room Pat2,CO2,
A55,PW032018Y095831,13-Aug-2024,Near Take-up Pat2,DP,
A56,PW042023Y308906,14-Jan-2025,Acid Bath Pat2,DP,
A57,PW082019Y154216,13-Aug-2024,Pb Pat2,DP,
A58,PW042023Y305542,11-Sep-2024,Bobbin Weight Area,DP,
A59,PW042023Y309506,14-Jan-2025,Near Panel Room Pat1,DP,
A60,PW012021Y217707,13-Aug-2024,U-turn Roller Pat1,DP,
A61,PW042023Y309703,14-Jan-2025,Thermopac Pat1,DP,
A62,PW042023Y310268,14-Jan-2025,H2SO4 Bath,DP,
A63,PW042023Y309147,14-Jan-2025,H2SO4 Bath,DP,
